CIK Number,Data Year - Fiscal,Industry Format,Level of Consolidation - Company Annual Descriptor,Population Source,Data Format,Ticker Symbol,Company Name,Fiscal Year-end Month,Filing Date,Period End date
12927,2010,INDL,C,D,STD,BA,BOEING CO,12,20110209,20101231
12927,2011,INDL,C,D,STD,BA,BOEING CO,12,20120209,20111231
12927,2012,INDL,C,D,STD,BA,BOEING CO,12,20130211,20121231
12927,2013,INDL,C,D,STD,BA,BOEING CO,12,20140214,20131231
12927,2014,INDL,C,D,STD,BA,BOEING CO,12,20150212,20141231
12927,2015,INDL,C,D,STD,BA,BOEING CO,12,20160210,20151231
12927,2016,INDL,C,D,STD,BA,BOEING CO,12,20170208,20161231
12927,2017,INDL,C,D,STD,BA,BOEING CO,12,20180212,20171231
789019,2010,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20100730,20100630
789019,2011,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20110728,20110630
789019,2012,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20120726,20120630
789019,2013,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20130730,20130630
789019,2014,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20140731,20140630
789019,2015,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20150731,20150630
789019,2016,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20160728,20160630
789019,2017,INDL,C,D,STD,MSFT,MICROSOFT CORP,6,20170802,20170630
1018724,2010,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20110128,20101231
1018724,2011,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20120201,20111231
1018724,2012,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20130130,20121231
1018724,2013,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20140131,20131231
1018724,2014,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20150130,20141231
1018724,2015,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20160129,20151231
1018724,2016,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20170210,20161231
1018724,2017,INDL,C,D,STD,AMZN,AMAZON.COM INC,12,20180202,20171231
